osm_type,osm_id,name,lat,lon,holes_tag,fairways,hole_lines,tier
way,293336799,Maple Creek Golf Club,43.51629,-84.68243,,0,0,raster
way,293336800,Mount Pleasant Country Club,43.62217,-84.77541,,0,0,raster
way,293336801,Pleasant Hills Golf Course,43.54786,-84.75959,,17,18,vector
way,293336802,Riverwood Resort,43.58744,-84.82672,,0,0,raster
way,293379095,Apple Mountain Golf Course,43.47421,-84.10653,,17,18,vector
way,293379099,Beech Hollow Golf Course,43.51738,-84.04669,,23,18,vector
way,293379100,County Line Golf Course,43.44141,-83.70362,,0,0,raster
way,293379101,Crooked Creek Golf Course,43.40992,-84.09477,,19,18,vector
way,293379105,Forest View Golf Center,43.73091,-84.23451,,0,0,raster
way,293379111,Green Acres Golf Course,43.32963,-83.82421,,0,0,raster
way,293379112,Gully Golf Course,43.79393,-84.36064,,0,0,raster
way,293379115,Maple Hill Golf Club,43.4108,-84.17547,,0,0,raster
way,293379123,Mueller's Valley View Farm Golf Course,43.40559,-84.10742,,19,18,vector
way,293379125,Pleasant View Golf Course,43.45638,-83.96208,,0,0,raster
way,293379127,Sandy Ridge Golf Course,43.66335,-84.15801,,42,18,vector
way,293379128,Swan Valley Golf Course,43.42374,-84.10059,,18,18,vector
way,293379129,The Fortress Golf Course,43.32468,-83.7502,,17,18,vector
way,293379130,The Sawmill Golf Club,43.45825,-84.06234,,23,18,vector
way,293379131,Twin Bridges Golf Course,43.37178,-84.35722,,0,0,raster
way,293379132,Twin Brooks Golf Course,43.19758,-84.13621,,0,0,raster
way,293379133,Twin Oaks Golf Club,43.52775,-84.04447,,28,0,vector
way,293379134,White Birch Hills Golf Course,43.63314,-84.04098,,0,18,partial
way,293487668,Arrowhead Golf Club,43.48621,-83.37599,,0,0,raster
way,293487669,Bird Creek Golf Club,44.0168,-82.99317,,5,0,partial
way,293487670,Caseville Golf Course,43.95606,-83.2306,,0,9,partial
way,293487671,Century Oaks Golf Club,43.82094,-83.16686,,0,9,partial
way,293487672,EMS Links Golf Course,43.35441,-82.90863,,0,0,raster
way,293487674,Hidden Oaks Golf Course,43.4166,-84.63034,,0,0,raster
way,293487675,Lakeview Hills Golf Resort - North Course,43.27101,-82.55598,,0,0,raster
way,293487676,Lakeview Hills Golf Resort - South Course,43.2636,-82.55922,,0,0,raster
way,293487678,North Star Golf Course,43.22285,-84.5696,,0,0,raster
way,293487679,Pine River Country Club,43.37938,-84.6817,,0,0,raster
way,293487680,Pointe Aux Barques Golf Course,44.05803,-82.94726,,0,0,raster
way,293487682,Ridge Golf Course,43.40035,-84.472,,0,0,raster
way,293487685,Rolling Hills,43.61362,-83.16995,,0,0,raster
